LOCATION,MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
New Delhi,2018,Hyundai,Creta 1.6 E + VTVT,Manual,"39,294 km",Petrol,2nd Owner,"₹8,98,799"
New Delhi,2016,Maruti,Vitara Brezza ZDI,Manual,"92,569 km",Diesel,1st Owner,"₹6,69,099"
New Delhi,2018,Maruti,Vitara Brezza VDI OPT,Manual,"60,395 km",Diesel,1st Owner,"₹6,83,399"
New Delhi,2020,Hyundai,VENUE S MT 1.2 KAPPA,Manual,"3,393 km",Petrol,1st Owner,"₹6,78,199"
New Delhi,2017,Toyota,Innova Crysta Touring Sport Diesel AT,Automatic,"85,295 km",Diesel,1st Owner,"₹15,00,699"
New Delhi,2018,Maruti,Vitara Brezza ZDI + AMT,Automatic,"28,144 km",Diesel,1st Owner,"₹9,13,699"
New Delhi,2018,Maruti,Vitara Brezza VDI,Manual,"82,601 km",Diesel,1st Owner,"₹6,36,299"
New Delhi,2017,Hyundai,Creta 1.6 E + VTVT,Manual,"53,571 km",Petrol,2nd Owner,"₹7,47,799"
New Delhi,2015,Hyundai,Creta 1.6 SX PLUS DIESEL,Manual,"80,045 km",Diesel,2nd Owner,"₹7,76,799"
New Delhi,2018,Maruti,Vitara Brezza VDI OPT,Manual,"36,116 km",Diesel,1st Owner,"₹6,86,499"
New Delhi,2016,Maruti,Vitara Brezza ZDI,Manual,"72,378 km",Diesel,1st Owner,"₹6,58,799"
New Delhi,2018,Maruti,Eeco 5 STR CNG WITH AC PLUSHTR,Manual,"36,507 km",Petrol + CNG,1st Owner,"₹3,43,699"
New Delhi,2018,Maruti,Vitara Brezza VDI,Manual,"34,119 km",Diesel,1st Owner,"₹6,99,499"
New Delhi,2017,Maruti,Vitara Brezza LDI OPT,Manual,"39,643 km",Diesel,1st Owner,"₹6,17,199"
New Delhi,2016,Maruti,Vitara Brezza VDI OPT,Manual,"41,629 km",Diesel,1st Owner,"₹7,84,299"
New Delhi,2019,Maruti,XL6 ALPHA SHVS  MT,Manual,"11,659 km",Petrol,1st Owner,"₹9,78,999"
New Delhi,2017,Maruti,Vitara Brezza VDI OPT,Manual,"34,749 km",Diesel,1st Owner,"₹7,78,699"
New Delhi,2018,Maruti,Vitara Brezza VDI OPT,Manual,"71,192 km",Diesel,1st Owner,"₹7,19,399"
